Date, SOI
1951-01-01,1.32
1951-02-01,0.47
1951-03-01,-0.71
1951-04-01,-1.03
1951-05-01,-1.29
1951-06-01,-0.52
1951-07-01,-1.33
1951-08-01,-0.75
1951-09-01,-1.17
1951-10-01,-1.44
1951-11-01,-0.98
1951-12-01,-0.9
1952-01-01,-0.92
1952-02-01,-0.83
1952-03-01,-0.02
1952-04-01,-0.73
1952-05-01,0.67
1952-06-01,0.78
1952-07-01,0.51
1952-08-01,-0.38
1952-09-01,-0.24
1952-10-01,0.12
1952-11-01,-0.22
1952-12-01,-1.4
1953-01-01,0.12
1953-02-01,-0.72
1953-03-01,-0.79
1953-04-01,-0.18
1953-05-01,-2.72
1953-06-01,-0.47
1953-07-01,-0.06
1953-08-01,-1.89
1953-09-01,-1.35
1953-10-01,-0.18
1953-11-01,-0.36
1953-12-01,-0.61
1954-01-01,0.57
1954-02-01,-0.52
1954-03-01,-0.31
1954-04-01,0.41
1954-05-01,0.15
1954-06-01,-0.49
1954-07-01,0.36
1954-08-01,0.9
1954-09-01,0.17
1954-10-01,0.09
1954-11-01,0.16
1954-12-01,1.31
1955-01-01,-0.68
1955-02-01,1.3
1955-03-01,0.13
1955-04-01,-0.81
1955-05-01,0.88
1955-06-01,1.63
1955-07-01,1.8
1955-08-01,1.38
1955-09-01,1.4
1955-10-01,1.51
1955-11-01,1.38
1955-12-01,0.91
1956-01-01,1.16
1956-02-01,1.1
1956-03-01,0.89
1956-04-01,1.06
1956-05-01,1.44
1956-06-01,1.26
1956-07-01,1.19
1956-08-01,1.05
1956-09-01,0.06
1956-10-01,1.92
1956-11-01,0.11
1956-12-01,0.99
1957-01-01,0.43
1957-02-01,-0.36
1957-03-01,-0.37
1957-04-01,0.05
1957-05-01,-1.18
1957-06-01,-0.37
1957-07-01,0.18
1957-08-01,-1.08
1957-09-01,-1.01
1957-10-01,-0.09
1957-11-01,-1.23
1957-12-01,-0.44
1958-01-01,-1.89
1958-02-01,-0.78
1958-03-01,-0.32
1958-04-01,0.03
1958-05-01,-1.39
1958-06-01,-0.27
1958-07-01,0.23
1958-08-01,0.72
1958-09-01,-0.34
1958-10-01,-0.56
1958-11-01,-0.61
1958-12-01,-0.84
1959-01-01,-0.94
1959-02-01,-1.5
1959-03-01,0.77
1959-04-01,0.35
1959-05-01,0.14
1959-06-01,-0.96
1959-07-01,-0.47
1959-08-01,-0.68
1959-09-01,-0.01
1959-10-01,0.34
1959-11-01,0.9
1959-12-01,0.81
1960-01-01,-0.05
1960-02-01,-0.25
1960-03-01,0.47
1960-04-01,0.79
1960-05-01,0.3
1960-06-01,-0.47
1960-07-01,0.5
1960-08-01,0.53
1960-09-01,0.65
1960-10-01,-0.2
1960-11-01,0.6
1960-12-01,0.63
1961-01-01,-0.43
1961-02-01,0.58
1961-03-01,-2.47
1961-04-01,1.15
1961-05-01,0.18
1961-06-01,-0.53
1961-07-01,0.18
1961-08-01,-0.16
1961-09-01,0.11
1961-10-01,-0.73
1961-11-01,0.68
1961-12-01,1.31
1962-01-01,1.72
1962-02-01,-0.41
1962-03-01,-0.32
1962-04-01,0.3
1962-05-01,1.1
1962-06-01,0.37
1962-07-01,-0.04
1962-08-01,0.26
1962-09-01,0.53
1962-10-01,0.95
1962-11-01,0.27
1962-12-01,-0.1
1963-01-01,0.8
1963-02-01,0.26
1963-03-01,0.66
1963-04-01,0.51
1963-05-01,0.14
1963-06-01,-1.3
1963-07-01,-0.13
1963-08-01,-0.43
1963-09-01,-0.6
1963-10-01,-1.46
1963-11-01,-0.93
1963-12-01,-1.35
1964-01-01,-0.53
1964-02-01,-0.13
1964-03-01,0.71
1964-04-01,1.78
1964-05-01,-0.02
1964-06-01,0.72
1964-07-01,0.62
1964-08-01,1.32
1964-09-01,1.29
1964-10-01,1.26
1964-11-01,-0.06
1964-12-01,-0.49
1965-01-01,-0.52
1965-02-01,0.01
1965-03-01,0.24
1965-04-01,-1.34
1965-05-01,-0.03
1965-06-01,-1.63
1965-07-01,-2.32
1965-08-01,-1.37
1965-09-01,-1.41
1965-10-01,-1.22
1965-11-01,-1.86
1965-12-01,0.02
1966-01-01,-1.36
1966-02-01,-0.54
1966-03-01,-1.75
1966-04-01,-0.9
1966-05-01,-0.71
1966-06-01,0.14
1966-07-01,-0.15
1966-08-01,0.19
1966-09-01,-0.24
1966-10-01,-0.33
1966-11-01,-0.2
1966-12-01,-0.61
1967-01-01,1.52
1967-02-01,1.2
1967-03-01,0.65
1967-04-01,-0.12
1967-05-01,-0.41
1967-06-01,0.67
1967-07-01,0.18
1967-08-01,0.44
1967-09-01,0.44
1967-10-01,-0.17
1967-11-01,-0.57
1967-12-01,-0.78
1968-01-01,0.47
1968-02-01,0.77
1968-03-01,-0.56
1968-04-01,-0.31
1968-05-01,1.21
1968-06-01,1.27
1968-07-01,0.77
1968-08-01,-0.2
1968-09-01,-0.36
1968-10-01,-0.35
1968-11-01,-0.44
1968-12-01,0.13
1969-01-01,-1.36
1969-02-01,-0.85
1969-03-01,-0.03
1969-04-01,-0.9
1969-05-01,-0.78
1969-06-01,-0.24
1969-07-01,-0.73
1969-08-01,-0.71
1969-09-01,-1.1
1969-10-01,-1.35
1969-11-01,-0.18
1969-12-01,0.24
1970-01-01,-1.26
1970-02-01,-1.22
1970-03-01,0.06
1970-04-01,-0.56
1970-05-01,0.04
1970-06-01,1.02
1970-07-01,-0.52
1970-08-01,0.31
1970-09-01,1.18
1970-10-01,0.74
1970-11-01,1.85
1970-12-01,1.83
1971-01-01,0.23
1971-02-01,1.44
1971-03-01,1.98
1971-04-01,2.58
1971-05-01,0.88
1971-06-01,0.21
1971-07-01,0.17
1971-08-01,1.42
1971-09-01,1.51
1971-10-01,1.75
1971-11-01,0.55
1971-12-01,0.15
1972-01-01,0.33
1972-02-01,0.67
1972-03-01,0.13
1972-04-01,-0.46
1972-05-01,-1.52
1972-06-01,-1.68
1972-07-01,-1.84
1972-08-01,-1.12
1972-09-01,-1.48
1972-10-01,-1.13
1972-11-01,-0.38
1972-12-01,-1.47
1973-01-01,-0.43
1973-02-01,-1.47
1973-03-01,-0.06
1973-04-01,-0.37
1973-05-01,0.25
1973-06-01,1.22
1973-07-01,0.63
1973-08-01,1.18
1973-09-01,1.27
1973-10-01,0.85
1973-11-01,2.85
1973-12-01,1.76
1974-01-01,2.16
1974-02-01,1.49
1974-03-01,2.1
1974-04-01,1.27
1974-05-01,1.24
1974-06-01,0.14
1974-07-01,1.23
1974-08-01,0.56
1974-09-01,1.16
1974-10-01,0.72
1974-11-01,-0.42
1974-12-01,-0.14
1975-01-01,-0.62
1975-02-01,0.46
1975-03-01,1.14
1975-04-01,1.48
1975-05-01,0.51
1975-06-01,1.69
1975-07-01,2.13
1975-08-01,2.03
1975-09-01,2.15
1975-10-01,1.67
1975-11-01,1.25
1975-12-01,2.05
1976-01-01,1.19
1976-02-01,1.18
1976-03-01,1.33
1976-04-01,0.24
1976-05-01,0.5
1976-06-01,-0.16
1976-07-01,-1.24
1976-08-01,-1.46
1976-09-01,-1.29
1976-10-01,0.13
1976-11-01,0.76
1976-12-01,-0.48
1977-01-01,-0.39
1977-02-01,0.65
1977-03-01,-1.2
1977-04-01,-1.17
1977-05-01,-1.18
1977-06-01,-2.33
1977-07-01,-1.45
1977-08-01,-1.42
1977-09-01,-0.95
1977-10-01,-1.39
1977-11-01,-1.56
1977-12-01,-1.23
1978-01-01,-0.48
1978-02-01,-2.63
1978-03-01,-0.82
1978-04-01,-0.88
1978-05-01,1.5
1978-06-01,0.4
1978-07-01,0.53
1978-08-01,0.12
1978-09-01,0.06
1978-10-01,-0.76
1978-11-01,-0.28
1978-12-01,-0.21
1979-01-01,-0.45
1979-02-01,0.61
1979-03-01,-0.49
1979-04-01,-0.65
1979-05-01,0.46
1979-06-01,0.58
1979-07-01,-0.76
1979-08-01,-0.69
1979-09-01,0.11
1979-10-01,-0.37
1979-11-01,-0.61
1979-12-01,-0.9
1980-01-01,0.28
1980-02-01,-0.02
1980-03-01,-1.06
1980-04-01,-1.6
1980-05-01,-0.35
1980-06-01,-0.68
1980-07-01,-0.14
1980-08-01,-0.06
1980-09-01,-0.54
1980-10-01,-0.34
